% time	cellId	IMSI	RNTI	layer	mcs	size	rv	ndi
2264	1	8	11	0	2	18	0	1
2264	1	10	9	0	2	18	0	1
2265	1	7	2	0	0	7	0	1
2265	1	3	15	0	2	18	0	1
2265	1	10	9	0	0	7	0	1
2266	1	5	4	0	2	18	0	1
2266	1	4	1	0	4	26	0	1
2266	1	3	15	0	4	26	0	1
2267	1	3	15	0	2	18	0	1
2268	1	5	4	0	0	7	0	1
2269	1	10	9	0	12	73	0	1
2270	1	7	2	0	0	7	0	1
2270	1	3	15	0	2	18	0	1
2270	1	10	9	0	0	7	0	1
2271	1	5	4	0	2	18	0	1
2271	1	4	1	0	2	18	0	1
2272	1	10	9	0	2	18	0	1
2273	1	5	4	0	0	7	0	1
2274	1	6	12	0	0	7	0	1
2276	1	4	1	0	0	7	0	1
2277	1	10	9	0	2	18	0	1
2278	1	5	4	0	0	7	0	1
2279	1	6	12	0	0	7	0	1
2281	1	5	4	0	0	7	0	1
2282	1	10	9	0	6	32	0	1
2283	1	5	4	0	0	7	0	1
2284	1	6	12	0	0	7	0	1
2286	1	5	4	0	0	7	0	1
2288	1	5	4	0	0	7	0	1
2289	1	6	12	0	0	7	0	1
2291	1	5	4	0	0	7	0	1
2292	1	10	9	0	6	32	0	1
2293	1	5	4	0	0	7	0	1
2294	1	6	12	0	0	7	0	1
2296	1	5	4	0	0	7	0	1
2297	1	10	9	0	6	32	0	1
2298	1	5	4	0	0	7	0	1
2299	1	6	12	0	0	7	0	1
2301	1	5	4	0	0	7	0	1
2303	1	5	4	0	0	7	0	1
2304	1	6	12	0	0	7	0	1
2306	1	5	4	0	0	7	0	1
2308	1	5	4	0	0	7	0	1
2309	1	6	12	0	0	7	0	1
2311	1	5	4	0	0	7	0	1
2313	1	5	4	0	0	7	0	1
2314	1	6	12	0	0	7	0	1
2316	1	5	4	0	0	7	0	1
2318	1	5	4	0	0	7	0	1
2319	1	6	12	0	0	7	0	1
2321	1	5	4	0	0	7	0	1
2323	1	5	4	0	0	7	0	1
2324	1	6	12	0	0	7	0	1
2326	1	5	4	0	0	7	0	1
2328	1	5	4	0	0	7	0	1
2329	1	6	12	0	0	7	0	1
2331	1	5	4	0	0	7	0	1
2333	1	5	4	0	0	7	0	1
2334	1	6	12	0	0	7	0	1
2336	1	5	4	0	0	7	0	1
2338	1	5	4	0	0	7	0	1
2339	1	6	12	0	0	7	0	1
